DESCRIPTION@Tool online for imperion
USERNAME@Username :
ALNUM@This field must contain letter and number
PASS_LENG@The password must be 8 characters
ENTER@Enter
SUCCESS@login success
LOGOUT@You are Logout 
FAILURE@Login failed
PASS_ERR@Password wrong
LOST_PASS@You are lost the password?
USER_NOT_FOUND@Username not found
GUEST@Guest
CREATE@Create
EDIT@Edit
REG@Register
E_FATAL@Fatal Error, contact the admin
LOGorEMAIL@leave a email for be contact or do
OBJECT@object
WRITE@Write your message here
CONTACT@Contact us
EMAIL_CONTACT@Contact from email
FORM_CONTACT@Or compile this form
CTRL_MAIL@Email send , control your email
RECOVER@Insert the email of account to recover
RESEND@the your account isn't active, you can resend the activation email with this form
NAME@Nome
DESCRIPTION2@Description
MEMBER@Members
TITAN@Titan
XEN@Xen
TERRAN@Terran
SHIPOF@Ships of
OWNSHIP@Own ships
PLANET@Planet
PLANET_ISNT_OWN@The planet isn't your
PLANET_ID_ERR@Planet ID Error
ADD@Add
PLANET_PANNEL@Planets
COORDS@Coordinates
DELETE@Delete
TARGET@Target
DATA_ERROR@Data Error
PROFILE@Profile
CHANGEPASS@Change password
OLD_PASS@Old password
HOSTED@The source can find on
CLOSE@Close
LANGUAGE@Your language is not supported, you can add a translate on
RACE@Race
ALLY@Alliance
SEARCH@Search
FOUNDER@Founder
ADVISOR@Advisor
WAIT@In waiting
MEMBER@Member
ERROR_APP@You can't send application for this alliance, controll you enter's request
C403@You can't do this action
